,DROPDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Brief,Ad Types,,,,Call to Action List,,,,,,,,,,,,,,,,,,UTM,,,,,,,
,Stages,Platform,Ad Types,Specifications,Google,Facebook/Instagram,Facebook Lead Gen,Facebook App Install,Lead Gen Form Thank You,LinkedIn,Yahoo,Yahoo (Countdown),Twitter,TikTok,TikTok (Lead Gen Form),SnapChat,Hotstar,Spotify,WeChat,Wagawin,Grab,Programmatic,,PROGRAM,PROGRAM UTM,COUNTRIES,CHANNEL,UTM SOURCES,ADS PLATFORMS,STAGES IN THE FUNNEL,KEYWORDS TYPE
,,,Taboola Video Ads,https://help.taboola.com/hc/en-us/articles/115006880507-Video-Title-and-Thumbnail-Best-Practices,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OutBrain,OutBrain Image Ads,https://www.outbrain.com/help/ads-specs/,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,OutBrain Video Ads,https://www.outbrain.com/help/ads-specs/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bliss,Bliss Standard Banners Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Rich Media Banners Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Rich Media Expandable Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Rich Media Interstitial Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Native Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Instream Video Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bliss Outstream Video Ads,https://blis.com/wp-content/uploads/2021/02/Blis-Creative-Ad-Spec-2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
